Column-0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Last 7 Days
,1,"Bitcoin
BTC","$57,659.21",0.4%,1.9%,-4.8%,"$32,581,722,720","$1,088,764,869,114",
,2,"Ethereum
ETH","$4,304.89",0.3%,0.7%,0.1%,"$19,348,093,421","$510,245,863,945",
,3,"Binance Coin
BNB",$608.71,0.9%,3.9%,5.0%,"$2,330,339,285","$102,346,987,333",
,4,"Tether
USDT",$1.00,-0.1%,0.1%,-0.6%,"$81,225,466,902","$73,559,155,515",
,5,"Solana
SOL",$206.03,-0.5%,-5.0%,-6.0%,"$2,460,765,025","$62,615,398,114",
,6,"Cardano
ADA",$1.64,-0.7%,-2.5%,-12.6%,"$2,607,220,601","$52,799,354,392",
,7,"XRP
XRP",$1.03,0.1%,-0.5%,-6.1%,"$3,270,176,024","$48,752,730,899",
,8,"Polkadot
DOT",$38.78,0.7%,-1.8%,-9.2%,"$1,051,410,290","$41,070,635,595",
,9,"USD Coin
USDC",$1.00,0.1%,0.1%,-0.6%,"$3,985,805,647","$37,280,596,945",
,10,"Dogecoin
DOGE",$0.218023,0.2%,-1.4%,-8.7%,"$1,253,098,512","$28,843,234,754",
,11,"Avalanche
AVAX",$122.69,-0.2%,2.7%,13.1%,"$2,143,824,514","$27,463,783,794",
,12,"Shiba Inu
SHIB",$0.00004004,0.2%,2.0%,-17.2%,"$4,043,349,062","$21,976,511,515",
,13,"Crypto.com Coin
CRO",$0.871262,3.5%,-2.8%,65.0%,"$1,994,227,599","$21,970,768,703",
,14,"Terra
LUNA",$40.31,0.4%,-1.7%,-7.0%,"$746,422,602","$16,069,688,537",
,15,"Litecoin
LTC",$217.33,0.4%,2.1%,-5.4%,"$1,743,132,832","$15,013,163,631",
,16,"Wrapped Bitcoin
WBTC","$57,673.75",0.7%,1.9%,-4.8%,"$393,010,625","$14,365,680,572",
,17,"Binance USD
BUSD",$1.00,0.0%,0.2%,-0.6%,"$7,015,744,419","$12,921,970,483",
,18,"Polygon
MATIC",$1.79,-0.2%,2.5%,9.2%,"$1,313,396,315","$12,318,130,493",
,19,"Chainlink
LINK",$26.28,0.1%,-0.9%,-10.2%,"$854,846,397","$12,272,532,390",
,20,"Bitcoin Cash
BCH",$614.74,0.0%,6.2%,3.3%,"$3,061,852,121","$11,626,943,312",
,21,"Algorand
ALGO",$1.75,-0.4%,-3.3%,5.6%,"$344,265,162","$10,969,426,351",
,22,"Uniswap
UNI",$20.89,0.0%,-3.9%,-4.9%,"$235,796,437","$9,460,660,588",
,23,"Axie Infinity
AXS",$139.36,0.2%,3.9%,2.7%,"$778,453,028","$9,181,802,450",
,24,"Elrond
EGLD",$441.85,-2.4%,-3.6%,41.8%,"$657,678,472","$8,896,009,026",
,25,"Dai
DAI",$1.00,0.1%,0.0%,-0.7%,"$518,472,134","$8,753,878,912",
,26,"Cosmos
ATOM",$30.09,0.7%,-1.5%,1.8%,"$470,702,581","$8,507,317,287",
,27,"VeChain
VET",$0.123311,-0.0%,-1.7%,-15.4%,"$534,345,500","$8,240,141,677",
,28,"Stellar
XLM",$0.333262,-0.1%,-1.7%,-4.3%,"$454,459,191","$8,106,496,659",
,29,"Internet Computer
ICP",$41.47,-0.4%,0.9%,-3.5%,"$229,882,723","$7,576,002,574",
,30,"Decentraland
MANA",$5.69,3.4%,27.4%,67.6%,"$10,197,108,671","$7,563,675,871",
,32,"TerraUSD
UST",$1.00,-0.1%,0.3%,-0.7%,"$106,332,277","$7,231,457,136",
,31,"The Sandbox
SAND",$8.10,-3.1%,18.1%,115.8%,"$6,809,522,837","$7,227,958,720",
,33,"TRON
TRX",$0.098868,-0.3%,-1.5%,-11.6%,"$1,434,287,107","$7,085,948,004",
,34,"FTX Token
FTT",$50.62,0.3%,2.1%,-2.2%,"$156,276,237","$7,062,331,803",
,35,"cETH
CETH",$86.26,0.6%,0.7%,0.2%,"$20,031,494","$7,042,171,036",
,36,"Theta Network
THETA",$7.01,0.1%,3.4%,5.7%,"$283,796,051","$7,015,153,584",
,37,"Fantom
FTM",$2.55,-0.2%,14.1%,18.1%,"$1,374,519,119","$6,466,232,286",
,38,"Filecoin
FIL",$50.23,-0.1%,-0.5%,-10.9%,"$535,494,047","$6,420,328,535",
,39,"Lido Staked Ether
STETH","$4,270.80",0.5%,0.7%,0.4%,"$11,168,383","$6,413,536,786",
,40,"OKB
OKB",$24.09,1.8%,1.2%,-7.0%,"$310,775,864","$6,386,947,589",
,41,"Hedera
HBAR",$0.351211,0.2%,-3.1%,-13.8%,"$111,948,486","$6,354,634,303",
,42,"Ethereum Classic
ETC",$48.31,0.0%,-0.5%,-6.0%,"$1,126,246,238","$6,350,080,739",
,43,"Near
NEAR",$9.23,-0.9%,-4.6%,-2.1%,"$158,199,092","$5,206,405,318",
,44,"Gala
GALA",$0.657528,-2.7%,51.4%,183.0%,"$4,166,177,518","$4,935,445,072",
,45,"Helium
HNT",$45.56,0.6%,3.4%,-0.3%,"$46,239,089","$4,587,079,219",
,46,"cDAI
CDAI",$0.02173324,0.1%,0.0%,-0.4%,"$8,264,490","$4,448,503,997",
,48,"Monero
XMR",$243.56,-1.5%,0.3%,0.4%,"$234,466,264","$4,392,873,334",
,47,"Enjin Coin
ENJ",$4.68,0.2%,10.6%,55.5%,"$1,757,378,573","$4,383,233,348",
,49,"IOTA
MIOTA",$1.57,0.5%,6.1%,9.0%,"$170,986,974","$4,351,044,345",
,50,"The Graph
GRT",$0.872697,0.1%,-0.4%,-6.8%,"$154,391,739","$4,324,609,888",
